Mois,JPMorgan Chase,Finance,Banking
2004-01,13,38,18
2004-02,10,41,19
2004-03,10,38,18
2004-04,10,40,17
2004-05,9,37,18
2004-06,11,33,19
2004-07,11,43,19
2004-08,10,40,19
2004-09,10,35,18
2004-10,10,39,17
2004-11,9,36,18
2004-12,9,35,18
2005-01,10,36,19
2005-02,10,37,18
2005-03,10,37,18
2005-04,10,37,19
2005-05,11,35,18
2005-06,13,39,18
2005-07,12,36,19
2005-08,12,39,19
2005-09,11,37,19
2005-10,12,36,18
2005-11,12,35,19
2005-12,12,33,20
2006-01,14,41,18
2006-02,14,39,18
2006-03,15,46,18
2006-04,17,45,17
2006-05,14,42,17
2006-06,16,44,18
2006-07,15,42,18
2006-08,17,42,19
2006-09,17,44,18
2006-10,16,45,19
2006-11,15,42,18
2006-12,15,41,18
2007-01,16,47,21
2007-02,16,53,20
2007-03,16,51,22
2007-04,16,50,23
2007-05,16,47,22
2007-06,18,48,22
2007-07,17,51,23
2007-08,19,55,24
2007-09,18,52,25
2007-10,17,53,24
2007-11,17,54,24
2007-12,18,47,25
2008-01,20,57,27
2008-02,19,53,25
2008-03,21,54,26
2008-04,19,56,26
2008-05,19,50,27
2008-06,19,52,28
2008-07,20,56,32
2008-08,19,51,34
2008-09,24,67,47
2008-10,21,87,45
2008-11,20,69,49
2008-12,19,63,56
2009-01,21,63,56
2009-02,19,68,58
2009-03,22,72,60
2009-04,20,62,60
2009-05,23,59,60
2009-06,29,58,67
2009-07,30,57,73
2009-08,34,56,77
2009-09,33,56,73
2009-10,38,57,81
2009-11,42,52,81
2009-12,40,48,84
2010-01,40,53,89
2010-02,40,56,91
2010-03,38,59,92
2010-04,35,58,94
2010-05,33,54,85
2010-06,31,53,84
2010-07,28,48,67
2010-08,28,47,49
2010-09,27,48,49
2010-10,26,49,49
2010-11,25,51,52
2010-12,26,45,56
2011-01,29,52,55
2011-02,30,55,54
2011-03,28,57,44
2011-04,26,52,46
2011-05,29,49,48
2011-06,32,49,56
2011-07,33,51,55
2011-08,34,63,57
2011-09,29,54,58
2011-10,28,51,49
2011-11,27,50,37
2011-12,28,45,35
2012-01,29,48,40
2012-02,25,52,43
2012-03,25,51,33
2012-04,25,51,33
2012-05,33,52,34
2012-06,29,49,39
2012-07,28,47,36
2012-08,27,47,33
2012-09,27,43,34
2012-10,25,47,38
2012-11,25,47,43
2012-12,23,45,44
2013-01,24,53,40
2013-02,24,52,42
2013-03,25,53,42
2013-04,23,53,42
2013-05,23,52,42
2013-06,23,47,39
2013-07,26,50,41
2013-08,26,48,41
2013-09,24,50,38
2013-10,24,55,42
2013-11,22,51,45
2013-12,23,46,43
2014-01,23,53,43
2014-02,24,53,45
2014-03,22,53,45
2014-04,23,53,44
2014-05,23,50,41
2014-06,23,50,41
2014-07,23,53,45
2014-08,24,50,48
2014-09,22,54,43
2014-10,22,57,42
2014-11,21,51,43
2014-12,22,50,52
2015-01,22,54,45
2015-02,22,54,44
2015-03,21,54,44
2015-04,22,56,41
2015-05,22,51,43
2015-06,25,53,44
2015-07,26,56,43
2015-08,25,60,43
2015-09,23,55,38
2015-10,24,56,37
2015-11,22,51,36
2015-12,23,48,40
2016-01,24,53,40
2016-02,26,57,42
2016-03,25,52,37
2016-04,26,51,37
2016-05,25,47,38
2016-06,27,51,39
2016-07,27,48,39
2016-08,27,46,36
2016-09,26,46,36
2016-10,25,45,36
2016-11,24,45,33
2016-12,27,43,37
2017-01,27,47,35
2017-02,27,48,36
2017-03,28,51,35
2017-04,27,46,36
2017-05,29,47,35
2017-06,31,47,35
2017-07,32,44,36
2017-08,31,47,35
2017-09,28,44,35
2017-10,27,48,34
2017-11,28,51,34
2017-12,28,65,36
2018-01,28,64,34
2018-02,32,61,36
2018-03,30,54,34
2018-04,28,52,33
2018-05,28,50,32
2018-06,31,47,33
2018-07,29,47,33
2018-08,30,51,32
2018-09,30,47,34
2018-10,31,50,34
2018-11,28,46,34
2018-12,28,46,33
2019-01,28,48,33
2019-02,29,49,34
2019-03,27,49,33
2019-04,29,49,34
2019-05,30,50,34
2019-06,32,48,34
2019-07,33,50,35
2019-08,32,70,32
2019-09,29,48,33
2019-10,28,58,32
2019-11,28,55,33
2019-12,29,55,33
2020-01,29,62,33
2020-02,30,69,34
2020-03,31,100,30
2020-04,36,77,41
2020-05,32,71,32
2020-06,34,73,32
2020-07,32,66,31
2020-08,29,60,27
2020-09,29,60,29
2020-10,29,58,31
2020-11,26,57,28
2020-12,28,61,32
2021-01,32,63,32
2021-02,29,72,31
2021-03,32,70,38
2021-04,29,66,31
2021-05,29,67,29
2021-06,29,68,30
2021-07,31,60,29
2021-08,28,61,26
2021-09,29,63,28
2021-10,28,62,29
2021-11,30,67,28
2021-12,30,63,29
2022-01,28,61,27
2022-02,30,68,29
2022-03,29,66,26
2022-04,29,62,27
2022-05,28,66,25
2022-06,30,62,27
2022-07,30,62,26
2022-08,30,66,25
2022-09,28,63,24
2022-10,29,59,24
2022-11,26,58,23
2022-12,28,55,23
2023-01,29,55,24